departure_id,departure_radius,destination_id,destination_radius,search_date,search_date_range
178,50,84,0,NULL,1
134,0,69,0,NULL,0
84,0,228,0,NULL,0
30,0,134,0,NULL,0
203,0,310,0,NULL,0
207,0,30,0,NULL,0
73,50,6088,50,NULL,4
317,0,NULL,0,NULL,0
169,10,183,20,NULL,0
194,0,101,50,NULL,0
134,0,93,0,NULL,0
178,0,186,0,NULL,0
228,0,NULL,0,NULL,0
30,0,209,0,NULL,0
228,50,25,50,NULL,0
163,0,194,0,NULL,0
282,0,97,0,NULL,0
228,50,25,50,NULL,0
134,0,301,20,NULL,0
228,0,NULL,0,NULL,0
178,0,186,0,NULL,0
134,0,279,0,NULL,0
30,0,179,0,NULL,0
5890,50,310,50,"2012-06-10",0
228,0,NULL,0,NULL,0
7750,20,97,20,NULL,0
228,50,25,50,NULL,0
179,0,140,0,NULL,0
228,0,NULL,0,NULL,0
203,0,310,0,NULL,0
179,0,228,0,"2012-06-10",0
279,0,183,0,"2012-06-14",0
178,0,186,0,NULL,0
138,0,175,0,NULL,0
243,20,107,0,NULL,0
228,50,25,50,NULL,0
134,0,179,0,NULL,0
43,50,310,0,NULL,0
169,0,317,0,NULL,0
NULL,0,NULL,0,NULL,0
228,0,NULL,0,NULL,0
NULL,0,310,0,NULL,0
380,50,97,50,NULL,0
113,30,229,0,NULL,0
43,10,73,10,NULL,0
179,0,2139,0,"2012-06-10",1
7750,50,97,20,NULL,0
113,20,229,0,NULL,0
228,0,NULL,0,NULL,0
169,0,NULL,0,NULL,0
30,0,228,0,NULL,0
315,50,134,0,NULL,1
134,0,183,0,"2012-06-14",0
30,0,212,0,NULL,0
120,0,134,0,NULL,0
279,0,232,0,NULL,0
6088,50,73,50,NULL,4
310,0,97,0,NULL,0
310,0,97,0,NULL,0
228,0,NULL,0,NULL,0
43,10,73,10,NULL,0
228,50,209,50,NULL,0
30,0,97,0,NULL,0
380,50,246,50,NULL,0
179,0,140,0,NULL,0
97,0,310,0,NULL,0
228,0,58,0,NULL,0
228,0,NULL,0,NULL,0
30,0,351,0,NULL,0
317,0,134,0,NULL,1
30,0,228,0,NULL,0
213,0,30,0,NULL,0
30,0,134,0,NULL,0
228,0,NULL,0,NULL,0
179,0,134,0,NULL,0
134,0,209,0,NULL,0
6839,0,349,50,NULL,0
138,0,97,0,NULL,0
228,0,NULL,0,NULL,0
175,0,203,0,NULL,0
179,0,30,0,"2012-07-13",0
310,0,97,0,NULL,0
43,50,310,0,NULL,0
243,20,107,10,NULL,0
113,0,229,0,NULL,0
134,0,69,0,NULL,0
2139,0,179,0,NULL,1
194,0,212,0,NULL,0
0,0,228,0,NULL,0
268,0,246,0,NULL,0
6088,50,73,50,NULL,4
134,0,93,0,NULL,0
228,0,179,0,NULL,0
NULL,0,NULL,0,NULL,0
228,0,NULL,0,NULL,0
315,0,134,0,NULL,1
330,0,30,0,NULL,0
380,50,131,50,NULL,0
6839,0,349,0,NULL,0
228,0,NULL,0,NULL,0
178,0,228,0,NULL,0
169,0,25,50,"2012-06-29",0
179,0,134,0,NULL,0
30,0,131,0,NULL,0
338,20,7750,50,NULL,0
212,0,194,0,"2012-06-17",0
228,0,53,0,NULL,0
NULL,50,7307,30,"2012-06-25",4
86,0,30,0,NULL,0
5469,0,179,0,NULL,0
97,0,183,20,NULL,0
86,0,30,0,NULL,0
134,0,279,0,NULL,0
178,0,228,0,NULL,0
30,0,203,0,NULL,0
30,0,293,0,NULL,0
228,50,25,50,NULL,0
228,0,NULL,0,NULL,NULL
86,40,368,50,NULL,0
NULL,50,7307,30,"2012-06-25",2
97,50,70,50,NULL,0
317,0,NULL,0,NULL,0
380,50,194,50,NULL,0
38,20,250,20,NULL,NULL
194,0,138,0,NULL,0
310,0,203,0,NULL,0
194,0,179,0,NULL,0
30,0,194,0,"2012-06-17",0
246,0,7,0,NULL,0
228,0,30,0,"2012-05-31",0
30,0,134,0,NULL,0
310,0,97,0,NULL,0
81,0,97,0,NULL,0
228,0,179,0,NULL,0
268,0,246,0,NULL,0
38,20,250,20,NULL,0
178,0,228,0,NULL,0
163,0,315,0,NULL,0
380,50,194,50,NULL,0
228,0,NULL,0,NULL,NULL
134,20,194,10,NULL,0
228,50,25,50,NULL,0
73,50,6088,50,NULL,4
175,50,5463,50,NULL,2
228,0,NULL,0,NULL,0
NULL,0,310,0,NULL,0
228,0,30,0,NULL,0
30,0,203,0,NULL,0
5463,0,228,0,NULL,0
175,50,5463,50,NULL,2
228,50,25,50,NULL,0
381,0,NULL,0,NULL,0
246,0,7,0,NULL,0
134,0,229,0,NULL,0
228,0,NULL,0,NULL,0
228,50,25,50,NULL,0
30,0,100,0,NULL,1
253,0,134,0,NULL,0
NULL,50,7324,30,"2012-06-25",2
30,0,228,0,NULL,0
73,50,6088,50,NULL,4
30,0,194,0,NULL,0
34,10,181,10,NULL,0
228,0,NULL,0,NULL,0
100,0,93,20,NULL,0
61,50,5463,50,NULL,2
232,0,30,0,NULL,0
317,0,NULL,0,NULL,0
282,50,84,50,NULL,1
134,0,229,0,NULL,0
380,50,194,50,NULL,0
381,0,NULL,0,NULL,0
228,0,NULL,0,NULL,0
228,50,25,50,NULL,0
134,0,279,0,NULL,0
97,0,183,20,NULL,0
30,0,169,0,NULL,0
134,0,43,0,NULL,0
30,0,134,0,NULL,0
228,0,37,0,NULL,0
317,0,NULL,0,NULL,0
228,0,NULL,0,NULL,0
134,0,229,0,NULL,0
181,10,310,20,NULL,0
5469,0,179,0,NULL,0
228,50,25,50,NULL,0
178,50,84,50,NULL,1
228,0,NULL,0,NULL,0
339,0,138,0,NULL,0
134,0,301,20,NULL,0
228,0,7061,0,NULL,0
5463,0,228,0,NULL,0
169,0,100,0,NULL,0
61,50,5463,50,NULL,2
317,0,NULL,0,NULL,0
30,0,134,0,NULL,0
30,0,228,0,NULL,0
381,0,NULL,0,NULL,0
268,0,246,0,NULL,0
380,50,69,50,NULL,0
169,0,6036,0,NULL,0
100,0,93,0,NULL,0
134,0,229,0,NULL,0
152,0,310,0,NULL,0
30,0,209,0,NULL,0
317,0,NULL,0,NULL,0
30,0,32,30,NULL,0
351,50,7305,30,"2012-06-25",2
5440,0,5463,0,NULL,0
30,0,134,0,NULL,0
263,0,209,0,NULL,0
228,0,NULL,0,NULL,NULL
317,0,NULL,0,NULL,0
61,50,5463,50,NULL,2
30,0,228,0,NULL,0
228,0,138,0,"2012-06-12",0
169,0,25,50,"2012-06-29",0
97,0,179,0,NULL,0
178,0,1,0,NULL,0
134,0,30,0,NULL,0
252,0,3105,0,NULL,NULL
246,50,134,0,NULL,0
97,50,70,50,NULL,0
97,0,100,0,NULL,0
134,0,229,0,NULL,0
228,0,37,0,NULL,0
317,0,NULL,0,NULL,0
380,50,138,50,NULL,0
152,0,310,0,NULL,0
138,50,270,0,NULL,NULL
100,0,93,0,NULL,0
228,0,179,0,NULL,0
229,0,170,0,NULL,4
43,10,73,10,NULL,0
212,0,142,0,NULL,0
6088,50,73,50,NULL,4
97,0,100,0,NULL,0
317,0,NULL,0,NULL,0
5453,0,5463,0,NULL,0
138,0,44,0,NULL,0
30,0,212,0,"2012-06-17",0
380,50,138,50,NULL,0
228,50,25,50,NULL,0
178,0,179,0,NULL,0
317,0,NULL,0,NULL,0
134,0,30,0,NULL,0
97,0,100,0,NULL,0
67,0,179,0,NULL,0
30,0,222,30,NULL,0
351,0,120,0,NULL,0
134,0,315,50,NULL,1
310,0,268,0,NULL,0
351,30,7324,30,"2012-06-25",2
317,0,NULL,0,NULL,0
30,0,131,0,NULL,0
86,0,NULL,0,NULL,0
194,0,110,0,NULL,0
134,0,30,0,NULL,0
30,0,24,0,NULL,0
228,0,211,0,NULL,0
84,0,100,0,NULL,0
228,0,212,0,"2012-06-10",0
58,50,134,0,NULL,0
317,0,NULL,0,NULL,0
169,0,100,0,NULL,0
228,0,7721,0,"2012-05-31",1
207,0,293,0,NULL,0
5469,0,179,0,NULL,0
228,0,138,0,"2012-06-11",0
97,0,100,0,NULL,0
228,0,30,0,"2012-05-31",0
228,0,5613,0,NULL,0
140,0,6036,0,NULL,0
268,0,246,0,NULL,0
7711,50,228,0,NULL,0
317,0,NULL,0,NULL,0
97,0,100,0,NULL,0
351,30,7324,30,"2012-06-25",2
30,0,134,0,NULL,0
317,0,NULL,0,NULL,0
310,0,268,0,NULL,0
134,0,30,0,NULL,0
30,0,131,0,NULL,0
228,0,179,0,NULL,0
6036,0,8772,0,NULL,0
86,0,NULL,0,NULL,0
228,0,81,0,NULL,0
317,0,NULL,0,NULL,0
315,30,1,0,NULL,0
97,50,70,50,NULL,0
211,0,166,0,NULL,0
317,0,NULL,0,NULL,0
169,0,100,0,NULL,0
228,10,163,10,NULL,0
75,50,NULL,0,NULL,0
228,50,25,50,NULL,0
315,30,212,50,NULL,0
97,0,100,0,NULL,0
317,0,NULL,0,NULL,0
30,0,228,0,NULL,0
5469,0,179,0,NULL,0
175,0,134,0,"2012-06-24",0
5453,0,5463,0,NULL,0
44,0,30,0,"2012-06-17",0
175,0,30,0,NULL,0
228,0,7721,0,NULL,1
86,0,NULL,0,NULL,0
278,0,138,0,"2012-06-11",0
317,0,NULL,0,NULL,0
381,0,NULL,0,NULL,0
134,0,30,0,NULL,0
100,0,310,30,NULL,0
169,0,138,50,NULL,1
140,30,73,0,NULL,0
380,50,138,50,NULL,0
381,0,NULL,0,NULL,0
97,0,100,0,NULL,0
228,0,212,0,"2012-06-10",0
110,50,97,50,NULL,0
61,0,175,0,"2012-06-02",1
317,0,NULL,0,NULL,0
138,30,30,0,NULL,0
228,0,37,0,NULL,0
30,0,131,0,NULL,0
209,0,134,0,NULL,0
97,0,179,0,NULL,0
179,0,30,0,"2012-07-13",0
169,0,100,0,NULL,0
70,0,6036,0,NULL,0
317,0,NULL,0,NULL,0
381,0,NULL,0,NULL,0
81,0,228,0,NULL,0
97,0,100,0,NULL,0
100,0,73,0,NULL,0
138,30,30,0,NULL,0
43,10,73,10,NULL,0
30,0,209,0,NULL,0
310,0,203,0,NULL,0
179,0,30,0,"2012-07-13",0
317,0,NULL,0,NULL,0
86,0,30,0,NULL,0
211,0,166,0,NULL,0
179,0,69,50,NULL,0
97,0,100,0,NULL,0
134,0,30,0,NULL,0
317,0,NULL,0,NULL,0
317,0,24,0,NULL,0
134,0,315,50,NULL,1
140,0,228,0,NULL,1
97,0,1,0,NULL,0
138,30,30,0,NULL,0
5717,0,5762,0,NULL,0
134,0,43,0,NULL,0
381,0,NULL,0,NULL,NULL
380,50,138,50,NULL,0
43,10,73,10,NULL,0
97,50,70,50,NULL,0
97,0,100,0,NULL,0
317,0,NULL,0,NULL,0
5463,0,NULL,0,NULL,0
134,0,30,0,NULL,0
100,0,310,30,NULL,0
30,0,24,0,NULL,0
11,0,246,0,NULL,0
355,0,194,0,NULL,0
86,0,NULL,0,NULL,0
315,30,1,0,NULL,0
212,0,228,0,NULL,0
179,0,30,0,"2012-07-13",0
75,50,NULL,0,NULL,0
5453,0,5463,0,NULL,0
97,20,37,0,NULL,0
317,0,NULL,0,NULL,0
134,0,3116,50,NULL,0
175,0,134,0,"2012-06-24",0
228,50,25,50,NULL,0
169,0,100,0,NULL,0
310,0,203,0,NULL,0
70,0,6036,0,NULL,0
246,0,5463,0,NULL,0
279,0,232,0,NULL,0
317,0,24,0,NULL,0
134,0,338,0,NULL,0
30,0,131,0,NULL,0
315,30,1,0,NULL,0
134,0,301,20,NULL,0
5469,0,179,0,NULL,0
140,0,228,0,NULL,1
179,0,2141,0,NULL,2
69,0,194,0,"2012-05-25",0
97,0,30,0,NULL,0
179,0,30,0,"2012-07-13",0
315,30,212,50,NULL,0
97,0,246,0,NULL,0
67,20,228,0,NULL,0
97,0,100,0,NULL,0
228,0,NULL,0,NULL,0
317,0,NULL,0,NULL,NULL
194,0,84,0,"2012-07-16",0
22,0,6639,0,"2012-06-15",0
179,0,2141,0,NULL,2
100,0,73,0,NULL,0
5463,0,NULL,0,NULL,0
179,0,228,0,NULL,0
173,0,228,0,NULL,0
5469,0,179,0,"2012-06-02",0
355,0,194,0,NULL,0
5469,0,179,0,"2012-06-02",0
169,10,270,10,NULL,0
75,30,NULL,0,NULL,0
299,0,228,0,NULL,0
235,0,209,0,NULL,0
5469,0,179,0,"2012-06-02",0
97,0,179,0,NULL,0
134,0,118,0,NULL,3
100,0,246,0,NULL,0
325,20,228,0,NULL,0
315,20,212,50,NULL,0
140,10,8461,10,NULL,0
355,0,194,0,NULL,0
179,0,2141,0,NULL,0
179,0,2141,0,NULL,0
169,10,270,10,NULL,0
97,0,30,0,NULL,0
138,0,97,0,NULL,0
5469,0,179,0,NULL,0
30,0,24,0,NULL,0
5453,0,5463,0,NULL,0
169,0,100,0,NULL,0
194,0,84,0,"2012-07-15",0
179,0,30,0,"2012-07-13",0
315,0,212,0,NULL,0
179,0,2141,0,NULL,0
140,0,8461,0,NULL,0
140,0,228,0,NULL,1
5469,0,179,0,NULL,0
169,0,73,0,NULL,0
380,50,120,50,NULL,0
351,0,246,0,NULL,0
97,50,70,50,NULL,0
169,0,138,50,NULL,1
169,0,NULL,0,NULL,0
194,0,84,0,NULL,0
181,0,228,0,NULL,0
NULL,0,138,0,NULL,0
179,0,6036,0,NULL,0
NULL,0,9211,0,NULL,0
228,0,5613,0,NULL,0
5463,0,169,0,NULL,0
140,0,228,0,NULL,1
351,0,NULL,0,NULL,NULL
315,30,1,0,NULL,0
228,0,299,20,NULL,0
169,0,138,50,NULL,0
134,0,271,10,"2012-06-10",0
NULL,0,7307,0,NULL,NULL
315,50,134,0,NULL,1
100,0,310,30,NULL,0
73,0,69,0,NULL,NULL
179,0,228,0,NULL,0
310,0,25,50,NULL,0
169,0,73,0,NULL,0
73,0,297,0,NULL,0
228,0,5463,0,NULL,0
97,50,70,50,NULL,0
194,0,84,0,NULL,0
5453,0,5463,0,"2012-05-31",0
270,0,134,0,NULL,1
325,20,228,0,NULL,0
30,0,131,0,NULL,0
228,0,299,0,NULL,0
30,0,134,0,NULL,0
69,0,194,0,NULL,0
30,0,213,0,NULL,0
100,0,246,0,NULL,0
228,30,282,30,NULL,0
134,0,151,0,NULL,3
181,0,228,0,NULL,0
97,0,30,0,NULL,0
330,0,67,0,NULL,0
325,20,228,0,NULL,0
169,0,43,50,NULL,0
134,0,32,0,NULL,0
73,0,297,0,NULL,0
30,0,134,0,NULL,0
131,0,30,0,NULL,0
100,0,73,20,NULL,0
NULL,0,5847,0,NULL,NULL
179,0,6036,0,NULL,0
134,0,69,0,NULL,1
315,50,134,0,NULL,1
30,0,138,0,NULL,0
58,0,355,0,NULL,0
209,0,134,0,NULL,0
6795,0,30,0,NULL,1
131,0,30,0,NULL,0
73,0,100,20,NULL,0
30,0,134,0,NULL,0
179,0,2141,0,NULL,0
30,0,100,0,NULL,1
7713,30,36,50,NULL,0
6795,0,30,0,NULL,1
310,0,25,50,NULL,0
228,0,5463,0,NULL,0
351,0,228,0,NULL,0
351,0,310,0,NULL,0
194,0,84,0,NULL,0
NULL,0,9211,0,NULL,NULL
6795,32,30,0,NULL,0
7307,0,0,0,NULL,0
5453,0,5463,0,"2012-05-31",0
30,0,100,0,NULL,0
179,0,2141,0,NULL,0
228,0,30,0,NULL,0
NULL,0,7056,0,NULL,0
330,0,67,0,NULL,0
194,0,69,0,NULL,0
97,0,100,0,NULL,0
5988,0,5993,0,NULL,0
5463,0,169,0,NULL,0
30,0,194,0,NULL,0
6795,0,30,0,NULL,0
194,0,30,0,NULL,0
297,0,73,0,NULL,0
178,0,8835,0,NULL,0
69,0,117,0,NULL,0
30,30,355,30,NULL,0
317,0,NULL,0,NULL,NULL
NULL,0,7056,0,NULL,0
179,0,2141,0,NULL,0
169,0,43,50,NULL,0
97,0,30,0,NULL,0
194,0,84,0,"2012-06-17",0
194,0,30,0,NULL,0
NULL,0,138,0,NULL,0
351,0,310,0,NULL,0
30,0,100,0,NULL,1
NULL,0,8137,0,NULL,NULL
30,0,100,0,NULL,0
275,0,379,0,NULL,0
169,0,100,0,NULL,0
30,0,351,0,"2012-06-15",0
275,0,379,0,NULL,0
5988,0,5993,0,NULL,0
5717,0,5762,0,NULL,0
275,0,379,0,NULL,0
134,0,69,0,NULL,0
178,0,8835,0,NULL,0
37,0,246,0,NULL,0
179,0,228,0,NULL,0
97,0,179,0,NULL,0
194,0,84,0,"2012-06-17",0
37,40,368,50,NULL,1
100,0,246,0,NULL,0
194,0,30,0,NULL,0
5988,0,5993,0,NULL,0
30,0,134,0,NULL,0
113,0,203,0,NULL,0
279,0,175,0,NULL,0
6036,0,179,0,NULL,0
5988,0,5993,0,NULL,0
7056,0,NULL,0,NULL,0
351,0,310,0,NULL,0
NULL,0,138,0,NULL,0
73,50,NULL,0,NULL,4
30,30,355,30,NULL,0
228,0,2196,0,NULL,0
37,40,368,50,NULL,1
351,0,30,0,NULL,0
30,0,134,0,NULL,0
5988,0,5993,0,NULL,0
113,0,203,0,NULL,0
97,0,30,0,NULL,0
113,0,203,0,NULL,0
73,0,NULL,0,NULL,0
134,0,301,20,NULL,0
37,0,246,0,NULL,0
44,50,97,0,NULL,0
30,0,100,0,NULL,1
134,0,271,0,"2012-06-10",0
113,0,203,0,NULL,0
NULL,0,7307,0,NULL,NULL
179,0,169,0,NULL,0
209,0,134,0,NULL,0
351,0,30,0,NULL,0
7056,0,NULL,0,NULL,0
134,0,300,20,NULL,0
37,40,368,50,NULL,1
351,0,228,0,NULL,0
3108,0,279,0,NULL,0
97,0,30,0,NULL,0
351,0,310,0,NULL,0
97,0,310,0,NULL,0
134,0,120,0,NULL,0
44,50,97,0,NULL,0
NULL,0,138,0,NULL,0
228,0,30,0,NULL,0
169,0,351,0,NULL,0
6036,0,179,0,NULL,0
169,10,270,10,NULL,0
134,0,138,0,NULL,0
121,0,30,0,NULL,0
228,0,30,0,NULL,0
43,10,73,10,NULL,0
211,0,166,0,NULL,0
44,50,97,50,NULL,0
54,0,261,0,"2012-05-31",0
134,0,136,20,NULL,0
134,0,301,10,NULL,0
97,0,310,0,NULL,0
169,10,134,10,"2012-06-12",0
103,50,30,0,NULL,1
7056,0,NULL,0,NULL,0
169,10,270,0,NULL,0
138,0,169,0,NULL,0
97,0,30,0,NULL,0
169,0,NULL,0,NULL,0
351,0,30,0,NULL,0
70,0,212,10,NULL,0
279,0,121,0,NULL,0
310,0,97,0,NULL,0
30,0,134,0,NULL,0
169,10,134,10,NULL,0
14,0,138,0,NULL,0
351,0,30,0,NULL,0
30,0,134,0,NULL,0
246,0,5463,0,NULL,0
134,0,32,0,NULL,0
276,0,279,0,NULL,0
121,0,30,0,NULL,0
97,0,5463,0,NULL,0
134,0,301,0,NULL,0
97,0,30,0,NULL,0
194,0,170,0,NULL,0
97,0,310,0,NULL,0
1,0,228,0,NULL,0
30,0,213,0,NULL,0
117,0,69,0,NULL,0
30,0,7015,0,NULL,0
37,40,368,50,NULL,1
315,50,134,0,NULL,1
228,0,30,0,NULL,0
30,0,179,0,NULL,0
30,0,351,0,"2012-06-15",0
310,0,97,0,NULL,0
30,0,134,0,NULL,0
30,0,7015,0,NULL,0
351,0,30,0,NULL,0
228,0,30,0,NULL,0
NULL,0,138,0,NULL,0
30,0,138,0,NULL,0
6104,0,73,0,NULL,0
351,0,310,0,NULL,0
6104,0,73,0,NULL,0
6104,0,73,0,NULL,0
6104,0,73,0,NULL,0
8754,0,213,0,NULL,0
209,0,30,0,NULL,0
1,0,228,0,NULL,0
121,0,30,0,NULL,0
178,50,84,50,NULL,1
169,0,30,0,NULL,0
134,0,32,0,NULL,0
97,0,310,0,NULL,0
54,0,261,0,"2012-05-31",0
228,50,53,0,NULL,0
37,40,368,40,NULL,1
121,0,30,0,NULL,0
14,0,138,0,NULL,0
235,0,209,0,NULL,0
30,0,24,0,NULL,0
138,0,270,0,NULL,0
178,50,84,0,NULL,1
5717,0,5762,0,NULL,0
228,0,2196,0,NULL,0
273,0,100,0,NULL,0
86,0,134,0,NULL,0
351,0,30,0,NULL,0
6104,0,73,0,NULL,0
67,0,6036,0,NULL,0
228,50,25,50,NULL,0
1,0,228,0,NULL,0
351,0,310,0,NULL,0
121,0,134,0,NULL,0
351,0,228,0,NULL,0
97,0,5463,0,NULL,0
211,0,30,0,NULL,0
228,0,30,0,NULL,0
169,0,351,0,NULL,0
37,40,368,40,NULL,1
30,0,179,0,NULL,0
53,0,310,0,NULL,0
228,0,30,0,NULL,0
310,0,97,0,NULL,0
8788,0,213,0,NULL,0
30,0,134,0,NULL,0
351,0,30,0,NULL,0
170,0,181,0,NULL,0
228,0,30,0,NULL,0
NULL,0,84,0,NULL,1
169,0,351,0,NULL,0
228,0,257,0,NULL,0
209,0,30,0,NULL,0
315,0,228,0,NULL,0
NULL,0,NULL,0,NULL,0
70,50,212,10,NULL,0
351,0,228,0,NULL,0
97,0,310,0,NULL,0
380,50,134,50,NULL,0
179,0,299,0,NULL,1
351,0,310,0,NULL,0
351,0,30,0,NULL,0
134,0,175,0,NULL,0
NULL,0,NULL,0,NULL,0
209,0,134,0,NULL,0
310,0,97,0,NULL,0
67,0,6036,0,NULL,0
179,0,299,0,NULL,0
243,20,107,10,NULL,0
211,0,30,0,NULL,0
6958,50,6988,50,NULL,0
209,0,134,0,NULL,0
121,0,279,0,NULL,0
134,0,30,0,NULL,0
169,0,351,0,NULL,0
120,0,36,0,NULL,1
310,0,9,0,NULL,0
243,20,107,0,NULL,0
30,0,134,0,NULL,0
30,0,8875,0,"2012-06-15",0
30,0,179,0,NULL,0
228,0,8394,0,NULL,0
134,0,152,0,NULL,NULL
152,0,310,0,NULL,0
235,0,209,0,NULL,0
100,50,138,50,NULL,0
169,10,134,10,NULL,4
2,0,37,0,NULL,0
30,0,134,0,NULL,0
NULL,0,84,0,NULL,1
70,50,212,10,NULL,0
310,0,97,0,NULL,0
211,0,166,0,NULL,0
6088,50,73,50,NULL,4
212,0,228,0,NULL,0
30,0,179,0,NULL,0
169,10,134,10,NULL,4
211,0,166,0,NULL,0
297,0,73,0,NULL,0
134,0,175,0,NULL,0
NULL,0,84,0,NULL,1
73,0,97,0,NULL,0
81,0,179,0,NULL,0
30,0,138,0,NULL,0
NULL,0,7307,0,NULL,0
152,0,310,0,NULL,0
171,0,138,0,NULL,0
134,0,30,0,NULL,0
169,10,134,10,NULL,0
69,0,131,0,"2012-05-31",0
97,0,246,0,NULL,0
228,40,7729,0,NULL,0
69,0,30,0,NULL,0
117,30,30,30,NULL,0
246,0,292,0,NULL,0
5988,0,73,0,NULL,0
194,0,30,0,NULL,0
30,0,70,0,NULL,0
380,50,134,50,NULL,0
310,0,25,50,NULL,0
228,0,8394,0,NULL,0
317,0,5463,0,NULL,3
37,0,246,0,NULL,0
171,0,44,0,"2012-06-06",0
81,0,97,0,NULL,0
22,0,30,0,NULL,0
69,0,30,0,NULL,0
30,0,179,0,NULL,0
179,0,228,0,NULL,0
209,0,134,0,NULL,0
30,0,134,0,NULL,0
211,0,166,0,NULL,0
134,50,380,50,NULL,0
369,0,194,0,NULL,0
179,0,228,0,NULL,0
97,10,100,0,NULL,0
293,0,30,0,NULL,0
70,0,246,0,NULL,0
121,0,279,0,NULL,0
107,0,243,0,NULL,0
351,0,228,0,NULL,0
120,0,36,0,NULL,1
134,0,30,0,NULL,0
81,0,137,0,NULL,0
43,0,179,30,NULL,0
338,50,2139,50,NULL,4
121,0,134,0,NULL,0
NULL,0,7307,0,NULL,NULL
30,0,81,0,NULL,0
310,0,246,0,NULL,0
107,0,243,0,NULL,0
310,0,30,0,NULL,0
194,0,44,0,NULL,0
228,0,310,0,NULL,0
315,0,310,0,NULL,0
NULL,30,6639,30,NULL,1
351,0,30,0,NULL,0
310,0,73,0,NULL,0
97,0,5463,0,NULL,0
53,0,310,0,NULL,0
81,0,210,0,NULL,0
134,0,30,0,NULL,0
299,0,179,0,NULL,0
315,0,310,0,NULL,0
84,50,299,50,NULL,0
194,0,30,0,NULL,0
134,0,0,0,NULL,0
100,0,73,10,NULL,1
169,0,97,0,NULL,0
7056,50,6950,50,NULL,0
310,20,230,30,NULL,0
30,0,134,0,NULL,0
2196,0,310,0,NULL,0
243,0,107,0,NULL,0
246,0,374,50,NULL,0
235,0,209,0,NULL,0
48,50,228,50,NULL,0
84,50,100,50,NULL,0
211,0,166,0,NULL,0
194,0,30,0,NULL,0
179,0,228,0,NULL,0
211,0,166,0,NULL,0
134,50,380,50,NULL,0
169,0,97,0,NULL,0
142,0,194,0,NULL,0
134,0,0,0,NULL,0
53,0,194,0,NULL,0
228,0,310,0,NULL,0
140,0,310,0,NULL,0
